auktion_id,auktionstype,auktionsnavn,auktionsdato,saeson,dag_tema,event_id,event_navn,katalogomkostning,max_lots
O00001,online,Onlineauktion uge 2 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-01-11,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00002,online,Onlineauktion uge 2 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-01-12,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00003,online,Onlineauktion uge 2 2021 – Smykker/Fashion/Ure,2021-01-13,,Smykker/Fashion/Ure,,,,
O00004,online,Onlineauktion uge 3 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-01-18,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00005,online,Onlineauktion uge 3 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-01-19,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00006,online,Onlineauktion uge 3 2021 – Smykker/Fashion/Ure,2021-01-20,,Smykker/Fashion/Ure,,,,
O00007,online,Onlineauktion uge 4 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-01-25,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00008,online,Onlineauktion uge 4 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-01-26,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00009,online,Onlineauktion uge 4 2021 – Smykker/Fashion/Ure,2021-01-27,,Smykker/Fashion/Ure,,,,
O00010,online,Onlineauktion uge 5 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-02-01,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00011,online,Onlineauktion uge 5 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-02-02,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00012,online,Onlineauktion uge 5 2021 – Smykker/Fashion/Ure,2021-02-03,,Smykker/Fashion/Ure,,,,
O00013,online,Onlineauktion uge 6 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-02-08,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00014,online,Onlineauktion uge 6 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-02-09,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00015,online,Onlineauktion uge 6 2021 – Smykker/Fashion/Ure,2021-02-10,,Smykker/Fashion/Ure,,,,
O00016,online,Onlineauktion uge 7 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-02-15,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00017,online,Onlineauktion uge 7 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-02-16,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00018,online,Onlineauktion uge 7 2021 – Smykker/Fashion/Ure,2021-02-17,,Smykker/Fashion/Ure,,,,
O00019,online,Onlineauktion uge 8 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-02-22,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00020,online,Onlineauktion uge 8 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-02-23,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00021,online,Onlineauktion uge 8 2021 – Smykker/Fashion/Ure,2021-02-24,,Smykker/Fashion/Ure,,,,
O00022,online,Onlineauktion uge 9 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-03-01,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00023,online,Onlineauktion uge 9 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-03-02,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00024,online,Onlineauktion uge 9 2021 – Smykker/Fashion/Ure,2021-03-03,,Smykker/Fashion/Ure,,,,
L00142,live,Forårsauktion 2021 – Ældre Møbler/Ældre Kunst,2021-03-08,Forår,Ældre Møbler/Ældre Kunst,E20211,Forår 2021,147908,200
O00025,online,Onlineauktion uge 10 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-03-08,,Ældre Kunst/Ældre Møbler/Varia,,,,
L00143,live,Forårsauktion 2021 – Varia/Moderne Design,2021-03-09,Forår,Varia/Moderne Design,E20211,Forår 2021,126575,200
O00026,online,Onlineauktion uge 10 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-03-09,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
L00144,live,Forårsauktion 2021 – Moderne Møbler/Moderne Kunst,2021-03-10,Forår,Moderne Møbler/Moderne Kunst,E20211,Forår 2021,95287,200
O00027,online,Onlineauktion uge 10 2021 – Smykker/Fashion/Ure,2021-03-10,,Smykker/Fashion/Ure,,,,
L00145,live,Forårsauktion 2021 – Smykker/Fashion/Ure,2021-03-11,Forår,Smykker/Fashion/Ure,E20211,Forår 2021,177774,200
O00028,online,Onlineauktion uge 11 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-03-15,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00029,online,Onlineauktion uge 11 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-03-16,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00030,online,Onlineauktion uge 11 2021 – Smykker/Fashion/Ure,2021-03-17,,Smykker/Fashion/Ure,,,,
O00031,online,Onlineauktion uge 12 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-03-22,,Ældre Kunst/Ældre Møbler/Varia,,,,
O00032,online,Onlineauktion uge 12 2021 – Moderne Kunst/Moderne Møbler/Moderne Design,2021-03-23,,Moderne Kunst/Moderne Møbler/Moderne Design,,,,
O00033,online,Onlineauktion uge 12 2021 – Smykker/Fashion/Ure,2021-03-24,,Smykker/Fashion/Ure,,,,
O00034,online,Onlineauktion uge 13 2021 – Ældre Kunst/Ældre Møbler/Varia,2021-03-29,,Ældre Kunst/Ældre Møbler/Varia,,,,
